MeV,time1 (ps),time2 (ps)
10.111,47165,35058
11.111,26165,20058
11.112,26144,20043
11.113,26125,20029
11.114,26104,20014
11.115,26083,19999
11.116,26063,19984
11.116,26042,19970
11.117,26021,19955
11.118,26001,19940
11.119,25980,19925
11.12,25959,19910
11.121,25938,19896
11.122,25918,19881
11.123,25897,19866
11.124,25877,19851
11.124,25856,19836
11.125,25835,19822
11.126,25815,19807
11.127,25794,19792
11.128,25773,19777
11.129,25753,19763
11.13,25732,19748
11.131,25711,19733
11.132,25691,19718
11.133,25670,19703
11.133,25650,19689
11.134,25629,19674
11.135,25608,19659
11.136,25588,19644
11.137,25567,19630
11.138,25547,19615
11.139,25526,19600
11.14,25506,19585
11.141,25485,19570
11.141,25464,19556
11.142,25444,19541
11.143,25423,19526
11.144,25403,19511
11.145,25382,19497
11.146,25362,19482
11.147,25341,19467
11.148,25321,19452
11.148,25302,19439
11.149,25281,19424
11.15,25261,19409
11.151,25240,19395
11.152,25220,19380
11.153,25199,19365
11.154,25179,19350
11.155,25158,19336
11.156,25138,19321
11.156,25117,19306
11.157,25097,19292
11.158,25076,19277
11.159,25056,19262
11.16,25036,19247
11.161,25015,19233
11.162,24995,19218
11.163,24974,19203
11.164,24954,19189
11.164,24933,19174
11.165,24913,19159
11.166,24892,19144
11.167,24872,19130
11.168,24852,19115
11.169,24831,19100
11.17,24811,19086
11.171,24790,19071
11.172,24770,19056
11.173,24750,19041
11.173,24729,19027
11.174,24709,19012
11.175,24689,18997
11.176,24668,18983
11.177,24648,18968
11.178,24627,18953
11.179,24607,18939
11.18,24587,18924
11.181,24566,18909
11.181,24546,18895
11.182,24526,18880
11.183,24505,18865
11.184,24485,18851
11.185,24465,18836
11.186,24446,18822
11.187,24426,18808
11.188,24406,18793
11.188,24385,18778
11.189,24365,18764
11.19,24345,18749
11.191,24324,18734
11.192,24304,18720
11.193,24284,18705
11.194,24264,18690
11.195,24243,18676
11.196,24223,18661
11.196,24203,18646
11.197,24183,18632
11.198,24162,18617
11.199,24142,18603
11.2,24122,18588
11.201,24102,18573
11.202,24081,18559
11.203,24061,18544
11.204,24041,18529
11.204,24021,18515
11.205,24001,18500
11.206,23980,18485
11.207,23960,18471
11.208,23940,18456
11.209,23920,18442
11.21,23900,18427
11.211,23880,18412
11.212,23859,18398
11.213,23839,18383
11.213,23819,18368
11.214,23799,18354
11.215,23779,18339
11.216,23759,18325
11.217,23738,18310
11.218,23718,18295
11.219,23698,18281
11.22,23678,18266
11.221,23658,18252
11.221,23638,18237
11.222,23618,18222
11.223,23598,18208
11.224,23579,18194
11.225,23559,18180
11.226,23539,18165
11.227,23519,18151
11.228,23499,18136
11.228,23479,18121
11.229,23459,18107
11.23,23439,18092
11.231,23419,18078
11.232,23399,18063
11.233,23378,18049
11.234,23358,18034
11.235,23338,18019
11.236,23318,18005
11.236,23298,17990
11.237,23278,17976
11.238,23258,17961
11.239,23238,17947
11.24,23218,17932
11.241,23198,17917
11.242,23178,17903
11.243,23158,17888
11.244,23138,17874
11.245,23118,17859
11.245,23098,17845
11.246,23078,17830
11.247,23058,17816
11.248,23038,17801
11.249,23018,17786
11.25,22998,17772
11.251,22979,17757
11.252,22959,17743
11.253,22939,17728
11.253,22919,17714
11.254,22899,17699
11.255,22879,17685
11.256,22859,17670
11.257,22839,17656
11.258,22819,17641
11.259,22799,17627
11.26,22779,17612
11.261,22759,17598
11.261,22739,17583
11.262,22721,17570
11.263,22701,17555
11.264,22681,17541
11.265,22662,17526
11.266,22642,17512
11.267,22622,17497
11.268,22602,17483
11.268,22582,17468
11.269,22562,17454
11.27,22542,17439
11.271,22523,17425
11.272,22503,17410
11.273,22483,17396
11.274,22463,17381
11.275,22443,17367
11.276,22423,17352
11.276,22404,17338
11.277,22384,17323
11.278,22364,17309
11.279,22344,17294
11.28,22324,17280
11.281,22305,17265
11.282,22285,17251
11.283,22265,17236
11.284,22245,17222
11.285,22226,17207
11.285,22206,17193
11.286,22186,17178
11.287,22166,17164
11.288,22146,17150
11.289,22127,17135
11.29,22107,17121
11.291,22087,17106
11.292,22068,17092
11.293,22048,17077
11.293,22028,17063
11.294,22008,17048
11.295,21989,17034
11.296,21969,17020
11.297,21950,17005
11.298,21930,16991
11.299,21911,16977
11.3,21891,16963
11.3,21872,16948
11.301,21851,16933
11.302,21831,16919
11.303,21812,16904
11.304,21793,16890
11.305,21773,16876
11.306,21754,16862
11.307,21734,16847
11.308,21715,16833
11.309,21694,16818
11.309,21675,16804
11.31,21655,16789
11.311,21636,16775
11.312,21617,16761
11.313,21597,16747
11.314,21578,16732
11.315,21557,16717
11.316,21538,16703
11.317,21518,16689
11.317,21499,16674
11.318,21480,16660
11.319,21460,16646
11.32,21441,16632
11.321,21420,16616
11.322,21401,16602
11.323,21381,16588
11.324,21362,16574
11.324,21343,16560
11.325,21324,16545
11.326,21304,16531
11.327,21285,16517
11.328,21264,16502
11.329,21245,16487
11.33,21225,16473
11.331,21206,16459
11.332,21187,16445
11.332,21168,16431
11.333,21148,16417
11.334,21128,16401
11.335,21108,16387
11.336,21089,16373
11.337,21070,16359
11.338,21051,16344
11.339,21031,16330
11.34,21012,16316
11.341,20991,16301
11.341,20972,16287
11.342,20953,16272
11.343,20934,16258
11.344,20915,16244
11.345,20895,16230
11.346,20876,16216
11.347,20857,16202
