ns,eprodr,rhoR_fuel(gcm^2),rhoR_total(gcm^2),tion_bw(keV),
16.11,4.62E+04,0.5039,0.5039,4.8873,1.03423E+11
16.115,5.64E+04,0.53326,0.53326,4.9304,1.26378E+11
16.12,6.89E+04,0.56343,0.56343,4.9629,1.54251E+11
16.125,8.38E+04,0.59457,0.59457,4.9851,1.87658E+11
16.13,1.02E+05,0.62741,0.62741,5.0001,2.27719E+11
16.135,1.23E+05,0.66202,0.66202,5.0109,2.75682E+11
16.14,1.48E+05,0.69868,0.69868,5.0208,3.3225E+11
16.145,1.79E+05,0.73648,0.73648,5.033,4.00866E+11
16.15,2.16E+05,0.77484,0.77484,5.0503,4.83235E+11
16.155,2.62E+05,0.81368,0.81368,5.0757,5.87511E+11
16.16,3.20E+05,0.852,0.852,5.1094,7.17517E+11
16.165,3.93E+05,0.88871,0.88871,5.1505,8.80639E+11
16.17,4.84E+05,0.92289,0.92289,5.1969,1.0834E+12
16.175,5.97E+05,0.95474,0.95474,5.2471,1.33619E+12
16.18,7.38E+05,0.98374,0.98374,5.3011,1.6535E+12
16.185,9.14E+05,1.0081,1.0081,5.3586,2.04638E+12
16.19,1.14E+06,1.0296,1.0296,5.423699998,2.5525E+12
16.196,1.51E+06,1.0493,1.0493,5.518699991,3.38211E+12
16.2,1.83E+06,1.055,1.055,5.594399971,4.09441E+12
16.205,2.34E+06,1.0573,1.0573,5.710699887,5.23637E+12
16.21,3.00E+06,1.0528,1.0528,5.856199579,6.71405E+12
16.216,4.03E+06,1.0374,1.0374,6.071598086,9.01964E+12
16.221,5.11E+06,1.0157,1.0157,6.275193604,1.14356E+13
16.226,6.43E+06,0.98562,0.98562,6.485379742,1.4394E+13
16.231,8.01E+06,0.94711,0.94711,6.687639305,1.79414E+13
16.236,9.87E+06,0.90033,0.90033,6.875628075,2.21096E+13
16.242,1.20E+07,0.84944,0.84944,7.054544918,2.68622E+13
16.247,1.41E+07,0.79769,0.79769,7.227404777,3.1652E+13
16.252,1.59E+07,0.74872,0.74872,7.398374064,3.56967E+13
16.257,1.70E+07,0.70158,0.70158,7.561982309,3.79888E+13
16.262,1.70E+07,0.65623,0.65623,7.708995159,3.80339E+13
16.267,1.58E+07,0.61233,0.61233,7.824728967,3.5495E+13
16.272,1.39E+07,0.56814,0.56814,7.896351473,3.11071E+13
16.277,1.15E+07,0.52399,0.52399,7.913057552,2.57669E+13
16.282,9.03E+06,0.48055,0.48055,7.866547669,2.02244E+13
16.287,6.75E+06,0.4382,0.4382,7.751879931,1.51135E+13
16.292,4.85E+06,0.39833,0.39833,7.565852975,1.08556E+13
16.297,3.50E+06,0.36538,0.36538,7.308409114,7.84E+12
16.303,2.19E+06,0.32605,0.32605,6.902227533,4.91093E+12
16.307,1.58E+06,0.30278,0.30278,6.578144786,3.53836E+12
16.312,9.56E+05,0.27186,0.27186,6.122009049,2.14247E+12
16.318,5.76E+05,0.24522,0.24522,5.53010959,1.29063E+12
16.323,3.47E+05,0.22247,0.22247,5.025252897,7.77126E+11
16.329,2.12E+05,0.20292,0.20292,4.446799931,4.75287E+11
16.333,1.31E+05,0.1862,0.1862,4.095504671,2.94077E+11
16.338,8.25E+04,0.17169,0.17169,3.711927811,1.84733E+11
16.343,5.29E+04,0.15913,0.15913,3.397877795,1.18586E+11
16.348,3.45E+04,0.14805,0.14805,3.154548556,77170688000
16.353,1.99E+04,0.13542,0.13542,2.976004334,44653629440
16.359,1.20E+04,0.12459,0.12459,2.832838353,26773411840
16.363,8.26E+03,0.11762,0.11762,2.770760378,18493870080
16.368,5.20E+03,0.10922,0.10922,2.720183563,11646351360
16.374,3.33E+03,0.10207,0.10207,2.686256113,7466690560
16.378,2.20E+03,0.095681,0.095681,2.673852272,4935461888
16.384,1.34E+03,0.088857,0.088857,2.664017227,3001227264
16.389,9.26E+02,0.083965,0.083965,2.66027102,2074275840
16.393,6.43E+02,0.079772,0.079772,2.65873859,1440201728
16.399,4.22E+02,0.074841,0.074841,2.657720855,945115136
16.404,2.82E+02,0.070656,0.070656,2.657399325,630611968
16.41,1.91E+02,0.066827,0.066827,2.657258699,428503040
