 -0.3725103    -0.4169784     0.0000000E+00 0.0000000E+00-0.4457025     100000000
 -0.1470096E-01 -2.700946     0.0000000E+00 0.0000000E+00 -1.638429     010000000
  0.0000000E+00 0.0000000E+00-0.3781182     0.7358375     0.0000000E+00 001000000
  0.0000000E+00 0.0000000E+00 -3.242248      3.664906     0.0000000E+00 000100000
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00  1.000000     000010000
  0.6037794    -0.5206286     0.0000000E+00 0.0000000E+00  3.446539     000001000
  0.8694366     0.3722632E-01 0.0000000E+00 0.0000000E+00 0.1868593     200000000
   11.36931     0.1214738     0.0000000E+00 0.0000000E+00  2.881271     110000000
   30.39684     -7.189678     0.0000000E+00 0.0000000E+00  7.228240     020000000
  0.0000000E+00 0.0000000E+00  1.416626      1.294390     0.0000000E+00 101000000
  0.0000000E+00 0.0000000E+00-0.2498109      1.351870     0.0000000E+00 011000000
 -0.4971534E-01  2.000458     0.0000000E+00 0.0000000E+00 -3.138446     002000000
  0.0000000E+00 0.0000000E+00  8.117507      9.032535     0.0000000E+00 100100000
  0.0000000E+00 0.0000000E+00 -2.168884      13.39134     0.0000000E+00 010100000
  -1.153763      23.91201     0.0000000E+00 0.0000000E+00 -37.90124     001100000
  -6.172708      72.33102     0.0000000E+00 0.0000000E+00 -117.8582     000200000
   1.150501    -0.2598786     0.0000000E+00 0.0000000E+00 0.9428846     100001000
   3.125251     -4.853825     0.0000000E+00 0.0000000E+00  4.390653     010001000
  0.0000000E+00 0.0000000E+00 -8.452470     -6.403159     0.0000000E+00 001001000
  0.0000000E+00 0.0000000E+00 -48.02322     -43.37494     0.0000000E+00 000101000
  -1.056892    -0.5108484     0.0000000E+00 0.0000000E+00 -3.684152     000002000
   1.343781     0.1676945     0.0000000E+00 0.0000000E+00 0.6773740     300000000
   27.88795     0.3016879     0.0000000E+00 0.0000000E+00  14.28425     210000000
   200.9760     -16.86346     0.0000000E+00 0.0000000E+00  102.1333     120000000
   517.2275     -59.88486     0.0000000E+00 0.0000000E+00  250.0722     030000000
  0.0000000E+00 0.0000000E+00-0.6963778     -2.316265     0.0000000E+00 201000000
  0.0000000E+00 0.0000000E+00 -19.44032     -32.46005     0.0000000E+00 111000000
  0.0000000E+00 0.0000000E+00 -93.45237     -125.0219     0.0000000E+00 021000000
  -3.069241      2.177061     0.0000000E+00 0.0000000E+00 -4.154842     102000000
  -1.611342      26.54533     0.0000000E+00 0.0000000E+00 -16.21772     012000000
  0.0000000E+00 0.0000000E+00  155.7955      102.9722     0.0000000E+00 003000000
  0.0000000E+00 0.0000000E+00 -3.896224     -12.97630     0.0000000E+00 200100000
  0.0000000E+00 0.0000000E+00 -130.7244     -189.7578     0.0000000E+00 110100000
  0.0000000E+00 0.0000000E+00 -646.0873     -721.5841     0.0000000E+00 020100000
  -30.21573      30.04686     0.0000000E+00 0.0000000E+00 -51.64238     101100000
   24.21838      341.3582     0.0000000E+00 0.0000000E+00 -201.9052     011100000
  0.0000000E+00 0.0000000E+00  2721.559      1888.628     0.0000000E+00 002100000
  -77.61740      100.4139     0.0000000E+00 0.0000000E+00 -162.6352     100200000
   155.0933      1084.754     0.0000000E+00 0.0000000E+00 -645.1795     010200000
  0.0000000E+00 0.0000000E+00  15912.14      11653.54     0.0000000E+00 001200000
  0.0000000E+00 0.0000000E+00  31149.37      24212.74     0.0000000E+00 000300000
   1.294745    -0.9882554     0.0000000E+00 0.0000000E+00 0.8208118     200001000
   14.51302     -17.58338     0.0000000E+00 0.0000000E+00  10.01322     110001000
   73.53923     -46.22370     0.0000000E+00 0.0000000E+00  40.85278     020001000
  0.0000000E+00 0.0000000E+00 -12.36868     -3.566558     0.0000000E+00 101001000
  0.0000000E+00 0.0000000E+00 -63.25958     -40.34818     0.0000000E+00 011001000
   6.817347      2.258268     0.0000000E+00 0.0000000E+00  16.18931     002001000
  0.0000000E+00 0.0000000E+00 -92.04316     -33.90412     0.0000000E+00 100101000
  0.0000000E+00 0.0000000E+00 -428.4272     -261.1019     0.0000000E+00 010101000
   80.70111      12.56883     0.0000000E+00 0.0000000E+00  217.1041     001101000
   238.2999     -4.864933     0.0000000E+00 0.0000000E+00  724.2104     000201000
  -1.209161     -1.531200     0.0000000E+00 0.0000000E+00 -1.451125     100002000
   5.855260      2.450232     0.0000000E+00 0.0000000E+00 -5.561989     010002000
  0.0000000E+00 0.0000000E+00  20.16836      1.892795     0.0000000E+00 001002000
  0.0000000E+00 0.0000000E+00  163.0086      50.85523     0.0000000E+00 000102000
   2.915365      1.812072     0.0000000E+00 0.0000000E+00  4.930062     000003000
