 -0.3661576    -0.4237413     0.0000000E+00 0.0000000E+00-0.3929304     100000000
  0.1652415E-02 -2.729152     0.0000000E+00 0.0000000E+00 -1.309178     010000000
  0.0000000E+00 0.0000000E+00-0.1351931     0.7818634     0.0000000E+00 001000000
  0.0000000E+00 0.0000000E+00 -1.962057      3.950355     0.0000000E+00 000100000
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00  1.000000     000010000
  0.4800146    -0.5176144     0.0000000E+00 0.0000000E+00  3.492320     000001000
  0.7661779     0.2086987E-01 0.0000000E+00 0.0000000E+00 0.1372054     200000000
   9.231360    -0.7384604     0.0000000E+00 0.0000000E+00  2.081001     110000000
   23.14465     -7.616769     0.0000000E+00 0.0000000E+00  4.169880     020000000
  0.0000000E+00 0.0000000E+00  1.106912     0.8180000     0.0000000E+00 101000000
  0.0000000E+00 0.0000000E+00 -1.501580      1.239613     0.0000000E+00 011000000
  0.1834479      1.545120     0.0000000E+00 0.0000000E+00 -3.163131     002000000
  0.0000000E+00 0.0000000E+00  6.606002      6.011167     0.0000000E+00 100100000
  0.0000000E+00 0.0000000E+00 -6.802002      13.45225     0.0000000E+00 010100000
   1.271455      17.79686     0.0000000E+00 0.0000000E+00 -37.93030     001100000
  0.5561491E-01  51.80510     0.0000000E+00 0.0000000E+00 -117.1628     000200000
  0.8587287    -0.4777055     0.0000000E+00 0.0000000E+00 0.7819504     100001000
   3.045884     -2.873476     0.0000000E+00 0.0000000E+00  3.223124     010001000
  0.0000000E+00 0.0000000E+00 -9.323730     -5.249145     0.0000000E+00 001001000
  0.0000000E+00 0.0000000E+00 -54.06332     -35.95629     0.0000000E+00 000101000
 -0.5544355     0.1323081     0.0000000E+00 0.0000000E+00 -3.749480     000002000
  0.5078870    -0.1399387     0.0000000E+00 0.0000000E+00 0.3458253     300000000
   10.66700     -3.152898     0.0000000E+00 0.0000000E+00  6.528499     210000000
   79.78353     -21.67577     0.0000000E+00 0.0000000E+00  41.70680     120000000
   217.6094     -43.25898     0.0000000E+00 0.0000000E+00  92.66618     030000000
  0.0000000E+00 0.0000000E+00-0.5186891     -1.108151     0.0000000E+00 201000000
  0.0000000E+00 0.0000000E+00 -18.23067     -19.33182     0.0000000E+00 111000000
  0.0000000E+00 0.0000000E+00 -85.28567     -76.40523     0.0000000E+00 021000000
  -1.635927      2.942426     0.0000000E+00 0.0000000E+00 -3.588043     102000000
   1.427890      20.93449     0.0000000E+00 0.0000000E+00 -13.16208     012000000
  0.0000000E+00 0.0000000E+00  187.2887      101.5839     0.0000000E+00 003000000
  0.0000000E+00 0.0000000E+00 -2.715921     -6.284779     0.0000000E+00 200100000
  0.0000000E+00 0.0000000E+00 -116.6555     -114.6488     0.0000000E+00 110100000
  0.0000000E+00 0.0000000E+00 -560.3924     -447.0469     0.0000000E+00 020100000
  -13.06624      38.43998     0.0000000E+00 0.0000000E+00 -45.33213     101100000
   57.40585      266.5275     0.0000000E+00 0.0000000E+00 -168.8163     011100000
  0.0000000E+00 0.0000000E+00  3286.482      1853.136     0.0000000E+00 002100000
  -23.19139      123.6141     0.0000000E+00 0.0000000E+00 -143.5051     100200000
   269.4179      838.4519     0.0000000E+00 0.0000000E+00 -542.9018     010200000
  0.0000000E+00 0.0000000E+00  19313.52      11369.18     0.0000000E+00 001200000
  0.0000000E+00 0.0000000E+00  38032.07      23483.34     0.0000000E+00 000300000
  0.4601231    -0.3347187     0.0000000E+00 0.0000000E+00 0.2563619     200001000
   4.281837     -3.961634     0.0000000E+00 0.0000000E+00  1.726036     110001000
   30.86425     -1.048689     0.0000000E+00 0.0000000E+00  9.892676     020001000
  0.0000000E+00 0.0000000E+00 -11.31808     -3.480800     0.0000000E+00 101001000
  0.0000000E+00 0.0000000E+00 -46.20099     -20.73569     0.0000000E+00 011001000
   1.655301     -4.467418     0.0000000E+00 0.0000000E+00  16.57092     002001000
  0.0000000E+00 0.0000000E+00 -82.56373     -29.09687     0.0000000E+00 100101000
  0.0000000E+00 0.0000000E+00 -311.9994     -143.3138     0.0000000E+00 010101000
   16.28284     -66.43834     0.0000000E+00 0.0000000E+00  221.1351     001101000
   41.53819     -234.2699     0.0000000E+00 0.0000000E+00  734.9420     000201000
 -0.7417258     0.2470265     0.0000000E+00 0.0000000E+00 -1.539859     100002000
   2.891443      6.108292     0.0000000E+00 0.0000000E+00 -5.952479     010002000
  0.0000000E+00 0.0000000E+00  24.08442      5.842398     0.0000000E+00 001002000
  0.0000000E+00 0.0000000E+00  190.7100      66.25020     0.0000000E+00 000102000
   1.558445     0.3679151     0.0000000E+00 0.0000000E+00  5.002147     000003000
