 -0.6588843    -0.4475817     0.0000000E+00 0.0000000E+00-0.5200684     100000000
  -1.525575     -2.554044     0.0000000E+00 0.0000000E+00 -2.096043     010000000
  0.0000000E+00 0.0000000E+00-0.1734558     0.7857339     0.0000000E+00 001000000
  0.0000000E+00 0.0000000E+00 -2.160784      4.022933     0.0000000E+00 000100000
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00  1.000000     000010000
  0.5876464    -0.3901271     0.0000000E+00 0.0000000E+00  3.508624     000001000
 -0.7133236     0.8698987E-01 0.0000000E+00 0.0000000E+00-0.6050487     200000000
  -7.909453     0.5600572     0.0000000E+00 0.0000000E+00 -6.558160     110000000
  -25.83098     -1.568901     0.0000000E+00 0.0000000E+00 -20.87258     020000000
  0.0000000E+00 0.0000000E+00 0.5592775     0.2376450     0.0000000E+00 101000000
  0.0000000E+00 0.0000000E+00 -3.447860     -1.189611     0.0000000E+00 011000000
   1.327108      1.266268     0.0000000E+00 0.0000000E+00 -2.437637     002000000
  0.0000000E+00 0.0000000E+00  2.942812      2.601056     0.0000000E+00 100100000
  0.0000000E+00 0.0000000E+00 -20.77009    -0.6989476     0.0000000E+00 010100000
   15.04844      14.41661     0.0000000E+00 0.0000000E+00 -29.43145     001100000
   41.34178      41.33273     0.0000000E+00 0.0000000E+00 -92.30011     000200000
   1.351832    -0.2287308     0.0000000E+00 0.0000000E+00  1.120367     100001000
   7.211062    -0.8712372     0.0000000E+00 0.0000000E+00  5.775188     010001000
  0.0000000E+00 0.0000000E+00 -8.394744     -4.629168     0.0000000E+00 001001000
  0.0000000E+00 0.0000000E+00 -48.54510     -32.46124     0.0000000E+00 000101000
 -0.5896143     0.1514625     0.0000000E+00 0.0000000E+00 -3.720200     000002000
  0.3448233     0.3884307     0.0000000E+00 0.0000000E+00-0.2595043E-01 300000000
   15.36393      10.00078     0.0000000E+00 0.0000000E+00  3.020050     210000000
   159.7545      82.33966     0.0000000E+00 0.0000000E+00  42.08241     120000000
   497.5383      222.3022     0.0000000E+00 0.0000000E+00  143.0087     030000000
  0.0000000E+00 0.0000000E+00  4.778785      2.725679     0.0000000E+00 201000000
  0.0000000E+00 0.0000000E+00  48.41956      27.08734     0.0000000E+00 111000000
  0.0000000E+00 0.0000000E+00  127.1077      67.92110     0.0000000E+00 021000000
  -3.600084     0.8780823     0.0000000E+00 0.0000000E+00 -3.642466     102000000
  -16.89802      4.743086     0.0000000E+00 0.0000000E+00 -16.07722     012000000
  0.0000000E+00 0.0000000E+00  157.0268      88.29513     0.0000000E+00 003000000
  0.0000000E+00 0.0000000E+00  28.84464      18.48015     0.0000000E+00 200100000
  0.0000000E+00 0.0000000E+00  279.8764      187.2975     0.0000000E+00 110100000
  0.0000000E+00 0.0000000E+00  699.4043      497.3281     0.0000000E+00 020100000
  -40.21064      14.87081     0.0000000E+00 0.0000000E+00 -51.07113     101100000
  -186.3564      78.90415     0.0000000E+00 0.0000000E+00 -234.9098     011100000
  0.0000000E+00 0.0000000E+00  2776.535      1648.957     0.0000000E+00 002100000
  -119.4712      55.14618     0.0000000E+00 0.0000000E+00 -178.0351     100200000
  -567.4597      284.1875     0.0000000E+00 0.0000000E+00 -850.1834     010200000
  0.0000000E+00 0.0000000E+00  16468.20      10367.10     0.0000000E+00 001200000
  0.0000000E+00 0.0000000E+00  32784.26      21954.45     0.0000000E+00 000300000
   3.498343     0.7447671     0.0000000E+00 0.0000000E+00  2.504221     200001000
   52.55897      10.41658     0.0000000E+00 0.0000000E+00  34.03080     110001000
   214.3047      45.74781     0.0000000E+00 0.0000000E+00  124.5259     020001000
  0.0000000E+00 0.0000000E+00 -11.68815     -5.470693     0.0000000E+00 101001000
  0.0000000E+00 0.0000000E+00 -43.75777     -27.45818     0.0000000E+00 011001000
 -0.9580672     -5.732130     0.0000000E+00 0.0000000E+00  14.52038     002001000
  0.0000000E+00 0.0000000E+00 -85.02205     -39.59334     0.0000000E+00 100101000
  0.0000000E+00 0.0000000E+00 -305.6895     -180.3563     0.0000000E+00 010101000
  -22.63153     -79.91998     0.0000000E+00 0.0000000E+00  192.3925     001101000
  -100.5769     -270.3174     0.0000000E+00 0.0000000E+00  635.8989     000201000
 -0.8149045     0.3392461     0.0000000E+00 0.0000000E+00 -1.960724     100002000
   1.810653      5.890091     0.0000000E+00 0.0000000E+00 -9.087323     010002000
  0.0000000E+00 0.0000000E+00  24.30633      6.109019     0.0000000E+00 001002000
  0.0000000E+00 0.0000000E+00  187.7663      64.73733     0.0000000E+00 000102000
   1.791349     0.3556205     0.0000000E+00 0.0000000E+00  5.040255     000003000
