E,1/MeV*g/cm2
0,0
0.25,0.013763072
0.5,0.013561067
0.75,0.01200918
1,0.010662875
1.25,0.009111226
1.5,0.026225631
1.75,0.020718542
2,0.016714806
2.25,0.013823054
2.5,0.011988669
2.75,0.010621019
3,0.010035275
3.25,0.008996272
3.5,0.020777927
3.75,0.018403232
4,0.01642265
4.25,0.014695588
4.5,0.013397936
4.75,0.012299667
5,0.011155487
5.25,0.010080947
5.5,0.009386927
5.75,0.008637814
6,0.008012718
6.25,0.007562678
6.5,0.007484571
6.75,0.007459052
7,0.007558743
7.25,0.007528096
7.5,0.007924356
7.75,0.008410051
8,0.008756823
8.25,0.009863678
8.5,0.010154523
8.75,0.01117564
9,0.012037441
9.25,0.013351788
9.5,0.014265462
9.75,0.01566984
10,0.016654229
10.25,0.018926729
10.5,0.020133871
10.75,0.021944049
11,0.023405427
11.25,0.025430846
11.5,0.026877796
11.75,0.029223872
12,0.030997082
12.25,0.033544329
12.5,0.035526223
12.75,0.038301112
13,0.040480957
13.25,0.043125867
13.5,0.045434499
13.75,0.048972573
14,0.05105225
