time(ns),eprodr,rhoR_fuel(gcm^2),rhoR_total(gcm^2),tion_bw(keV)
7.7335,3.07E+00,8.74E-02,1.91E-01,5.25E+00
7.743,4.62E+00,9.48E-02,2.01E-01,5.32E+00
7.7527,6.85E+00,1.03E-01,2.13E-01,5.37E+00
7.7741,1.54E+01,1.26E-01,2.43E-01,5.36E+00
7.7835,2.19E+01,1.39E-01,2.59E-01,5.33E+00
7.794,3.22E+01,1.55E-01,2.79E-01,5.31E+00
7.8033,4.56E+01,1.71E-01,2.99E-01,5.29E+00
7.8128,6.57E+01,1.90E-01,3.22E-01,5.30E+00
7.8236,1.02E+02,2.15E-01,3.53E-01,5.38E+00
7.8335,1.56E+02,2.42E-01,3.85E-01,5.51E+00
7.8443,2.47E+02,2.76E-01,4.26E-01,5.68E+00
7.8529,3.54E+02,3.07E-01,4.62E-01,5.76E+00
7.863,5.21E+02,3.46E-01,5.08E-01,5.71E+00
7.8733,7.34E+02,3.89E-01,5.59E-01,5.54E+00
7.8829,9.64E+02,4.30E-01,6.08E-01,5.38E+00
7.8935,1.26E+03,4.77E-01,6.64E-01,5.23E+00
7.9039,1.60E+03,5.22E-01,7.19E-01,5.15E+00
7.9134,1.94E+03,5.61E-01,7.68E-01,5.10E+00
7.9228,2.28E+03,5.95E-01,8.13E-01,5.05E+00
7.9333,2.56E+03,6.24E-01,8.55E-01,4.97E+00
7.9428,2.66E+03,6.40E-01,8.84E-01,4.84E+00
7.9533,2.59E+03,6.48E-01,9.07E-01,4.65E+00
7.9632,2.39E+03,6.45E-01,9.20E-01,4.41E+00
7.973,2.13E+03,6.35E-01,9.25E-01,4.17E+00
7.984,1.85E+03,6.21E-01,9.25E-01,3.94E+00
7.9938,1.64E+03,6.07E-01,9.21E-01,3.81E+00
8.0033,1.44E+03,5.93E-01,9.15E-01,3.73E+00
8.0129,1.24E+03,5.80E-01,9.06E-01,3.66E+00
8.0236,9.97E+02,5.64E-01,8.92E-01,3.55E+00
8.0331,7.65E+02,5.46E-01,8.73E-01,3.37E+00
8.0434,5.30E+02,5.22E-01,8.45E-01,3.08E+00
8.0529,3.55E+02,4.98E-01,8.14E-01,2.77E+00
8.0633,2.30E+02,4.72E-01,7.80E-01,2.46E+00
8.0732,1.54E+02,4.49E-01,7.49E-01,2.22E+00
8.0841,1.02E+02,4.27E-01,7.17E-01,2.05E+00
8.0942,7.20E+01,4.09E-01,6.90E-01,1.94E+00
8.1035,5.30E+01,3.94E-01,6.67E-01,1.88E+00
8.1143,3.78E+01,3.80E-01,6.43E-01,1.83E+00
8.1243,2.83E+01,3.69E-01,6.23E-01,1.80E+00
8.1336,2.19E+01,3.59E-01,6.06E-01,1.78E+00
8.1431,1.69E+01,3.49E-01,5.88E-01,1.75E+00
8.1542,1.21E+01,3.35E-01,5.66E-01,1.69E+00
8.1642,8.59E+00,3.21E-01,5.44E-01,1.61E+00
8.1745,5.75E+00,3.05E-01,5.22E-01,1.50E+00
8.1837,3.90E+00,2.91E-01,5.02E-01,1.40E+00
8.1933,2.53E+00,2.76E-01,4.82E-01,1.30E+00
