Time (ns),Neutrons out per ns,DSR,Tion(keV) new,Time shifted per above cell for overplotting
9.1,4.73E+16,0.0270058,5.79259,9.39
9.101,4.91E+16,0.0272201,5.77362,9.391
9.102,5.06E+16,0.0274168,5.76673,9.392
9.103,5.17E+16,0.027584,5.7799,9.393
9.104,5.28E+16,0.0277512,5.79307,9.394
9.105,5.42E+16,0.0279202,5.80461,9.395
9.106,5.62E+16,0.0281215,5.78746,9.396
9.107,5.83E+16,0.0283228,5.77031,9.397
9.108,6.03E+16,0.0285241,5.75316,9.398
9.109,6.19E+16,0.0287681,5.72099,9.399
9.11,6.31E+16,0.0290278,5.68331,9.4
9.111,6.45E+16,0.0292875,5.64563,9.401
9.112,6.64E+16,0.0295306,5.6242,9.402
9.113,6.88E+16,0.0297495,5.6263,9.403
9.114,7.13E+16,0.0299685,5.62841,9.404
9.115,7.35E+16,0.0301831,5.63109,9.405
9.116,7.51E+16,0.0303511,5.63987,9.406
9.117,7.65E+16,0.0305191,5.64864,9.407
9.118,7.84E+16,0.0306871,5.65742,9.408
9.119,8.12E+16,0.0309493,5.65959,9.409
9.12,8.43E+16,0.031241,5.65969,9.41
9.121,8.70E+16,0.0314922,5.66607,9.411
9.122,8.91E+16,0.0317091,5.67591,9.412
9.123,9.08E+16,0.0318979,5.68773,9.413
9.124,9.28E+16,0.0320866,5.69955,9.414
9.125,9.53E+16,0.0322814,5.7043,9.415
9.126,9.85E+16,0.0325228,5.65384,9.416
9.127,1.02E+17,0.0327643,5.60338,9.417
9.128,1.05E+17,0.0330058,5.55292,9.418
9.129,1.08E+17,0.0331491,5.58978,9.419
9.13,1.10E+17,0.0332662,5.64995,9.42
9.131,1.13E+17,0.0333834,5.71013,9.421
9.132,1.16E+17,0.0335507,5.73545,9.422
9.133,1.20E+17,0.0337761,5.72058,9.423
9.134,1.24E+17,0.0340014,5.7057,9.424
9.135,1.28E+17,0.0342293,5.69245,9.425
9.136,1.32E+17,0.0344726,5.68921,9.426
9.137,1.36E+17,0.0347159,5.68597,9.427
9.138,1.39E+17,0.0349592,5.68273,9.428
9.139,1.43E+17,0.0351539,5.68254,9.429
9.14,1.47E+17,0.0353394,5.68292,9.43
9.141,1.51E+17,0.0355249,5.6833,9.431
9.142,1.56E+17,0.0356886,5.69711,9.432
9.143,1.60E+17,0.035838,5.71964,9.433
9.144,1.65E+17,0.0359875,5.74217,9.434
9.145,1.71E+17,0.0361501,5.75421,9.435
9.146,1.77E+17,0.0363302,5.7524,9.436
9.147,1.82E+17,0.0365102,5.75059,9.437
9.148,1.85E+17,0.0366937,5.75841,9.438
9.149,1.85E+17,0.0368846,5.7874,9.439
9.15,1.91E+17,0.0370755,5.81639,9.44
9.151,2.05E+17,0.0374441,5.84948,9.441
9.152,2.14E+17,0.0374788,5.84832,9.442
9.153,2.19E+17,0.0375134,5.84716,9.443
9.154,2.23E+17,0.0376317,5.83602,9.444
9.155,2.29E+17,0.0380089,5.79399,9.445
9.156,2.37E+17,0.0383862,5.75196,9.446
9.157,2.45E+17,0.0386767,5.72846,9.447
9.158,2.53E+17,0.0387555,5.7502,9.448
9.159,2.61E+17,0.0388343,5.77194,9.449
9.16,2.69E+17,0.0389477,5.78698,9.45
9.161,2.78E+17,0.0391154,5.79146,9.451
9.162,2.87E+17,0.0392832,5.79594,9.452
9.163,2.96E+17,0.0394583,5.81968,9.453
9.164,3.06E+17,0.0396399,5.86014,9.454
9.165,3.16E+17,0.0398215,5.9006,9.455
9.166,3.27E+17,0.0399086,5.90463,9.456
9.167,3.38E+17,0.039961,5.89532,9.457
9.168,3.50E+17,0.0400135,5.886,9.458
9.169,3.62E+17,0.0402536,5.87443,9.459
9.17,3.74E+17,0.0404979,5.86281,9.46
9.171,3.87E+17,0.0407087,5.86265,9.461
9.172,4.00E+17,0.0408295,5.89313,9.462
9.173,4.14E+17,0.0409503,5.9236,9.463
9.174,4.29E+17,0.0410309,5.98889,9.464
9.175,4.43E+17,0.0410858,6.07629,9.465
9.176,4.59E+17,0.0411408,6.16369,9.466
9.177,4.77E+17,0.0412639,6.12344,9.467
9.178,4.93E+17,0.0413876,6.08227,9.468
9.179,5.08E+17,0.0414623,6.06481,9.469
9.18,5.23E+17,0.0414677,6.0809,9.47
9.181,5.45E+17,0.0418234,6.1657,9.471
9.182,5.66E+17,0.0419428,6.17751,9.472
9.183,5.84E+17,0.0420223,6.17772,9.473
9.184,6.04E+17,0.0420293,6.17412,9.474
9.185,6.25E+17,0.0419175,6.16428,9.475
