time(ns),eprodr,rhoR_fuel(gcm^2),rhoR_total(gcm^2),tion_bw(keV)
16.11,4.62E+03,0.5039,0.69472,12.21825
16.115,5.64E+03,0.53326,0.72985,12.326
16.12,6.89E+03,0.56343,0.76613,12.40725
16.125,8.38E+03,0.59457,0.80369,12.46275
16.13,1.02E+04,0.62741,0.84329,12.50025
16.135,1.23E+04,0.66202,0.88503,12.52725
16.14,1.48E+04,0.69868,0.92933,12.552
16.145,1.79E+04,0.73648,0.97521,12.5825
16.15,2.16E+04,0.77484,1.0221,12.62575
16.155,2.62E+04,0.81368,1.06997,12.68925
16.16,3.20E+04,0.852,1.11779,12.7735
16.165,3.93E+04,0.88871,1.16448,12.87625
16.17,4.84E+04,0.92289,1.2093,12.99225
16.175,5.97E+04,0.95474,1.25223,13.11775
16.18,7.38E+04,0.98374,1.29243,13.25275
16.185,9.14E+04,1.0081,1.3279,13.3965
16.19,1.14E+05,1.0296,1.35981,13.55925
16.196,1.51E+05,1.0493,1.39137,13.79674998
16.2,1.83E+05,1.055,1.40437,13.98599993
16.205,2.34E+05,1.0573,1.4149,14.27674972
16.21,3.00E+05,1.0528,1.41621,14.64049895
16.216,4.03E+05,1.0374,1.40517,15.17899522
16.221,5.11E+05,1.0157,1.38381,15.68798401
16.226,6.43E+05,0.98562,1.35086,16.21344936
16.231,8.01E+05,0.94711,1.30655,16.71909826
16.236,9.87E+05,0.90033,1.25193,17.18907019
16.242,1.20E+06,0.84944,1.18941,17.6363623
16.247,1.41E+06,0.79769,1.1234,18.06851194
16.252,1.59E+06,0.74872,1.05741,18.49593516
16.257,1.70E+06,0.70158,0.99261,18.90495577
16.262,1.70E+06,0.65623,0.93037,19.2724879
16.267,1.58E+06,0.61233,0.87164,19.56182242
16.272,1.39E+06,0.56814,0.81168,19.74087868
16.277,1.15E+06,0.52399,0.75065,19.78264388
16.282,9.03E+05,0.48055,0.68954,19.66636917
16.287,6.75E+05,0.4382,0.63315,19.37969983
16.292,4.85E+05,0.39833,0.58097,18.91463244
16.297,3.50E+05,0.36538,0.53962,18.27102279
16.303,2.19E+05,0.32605,0.48748,17.25556883
16.307,1.58E+05,0.30278,0.45705,16.44536197
16.312,9.56E+04,0.27186,0.41983,15.30502262
16.318,5.76E+04,0.24522,0.38245,13.82527398
16.323,3.47E+04,0.22247,0.35285,12.56313224
16.329,2.12E+04,0.20292,0.32905,11.11699983
16.333,1.31E+04,0.1862,0.30639,10.23876168
16.338,8.25E+03,0.17169,0.28606,9.279819528
16.343,5.29E+03,0.15913,0.27104,8.494694488
16.348,3.45E+03,0.14805,0.25463,7.88637139
16.353,1.99E+03,0.13542,0.23739,7.440010835
16.359,1.20E+03,0.12459,0.22456,7.082095883
16.363,8.26E+02,0.11762,0.213151,6.926900945
16.368,5.20E+02,0.10922,0.20351,6.800458908
16.374,3.33E+02,0.10207,0.191792,6.715640283
16.378,2.20E+02,0.095681,0.184902,6.68463068
16.384,1.34E+02,0.088857,0.17324,6.660043068
16.389,9.26E+01,0.083965,0.167282,6.65067755
16.393,6.43E+01,0.079772,0.160351,6.646846475
16.399,4.22E+01,0.074841,0.153309,6.644302138
16.404,2.82E+01,0.070656,0.148632,6.643498313
16.41,1.91E+01,0.066827,0.14133,6.643146748
