Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.38,2.54E+16,0.0237912,5.40004
9.381,2.62E+16,0.0239929,5.40007
9.382,2.71E+16,0.0241966,5.40011
9.383,2.80E+16,0.0244022,5.40015
9.384,2.90E+16,0.0246098,5.4002
9.385,2.99E+16,0.0248191,5.40023
9.386,3.09E+16,0.0250301,5.40027
9.387,3.19E+16,0.0252429,5.4003
9.388,3.29E+16,0.0254572,5.40033
9.389,3.40E+16,0.025673,5.40035
9.39,3.50E+16,0.0258903,5.40036
9.391,3.61E+16,0.026109,5.40036
9.392,3.72E+16,0.026329,5.40035
9.393,3.84E+16,0.0265503,5.40033
9.394,3.95E+16,0.0267727,5.40029
9.395,4.07E+16,0.0269962,5.40024
9.396,4.19E+16,0.0272208,5.40018
9.397,4.31E+16,0.0274464,5.40009
9.398,4.43E+16,0.0276728,5.39999
9.399,4.56E+16,0.0279001,5.39987
9.4,4.68E+16,0.0281281,5.39973
9.401,4.81E+16,0.0283568,5.39958
9.402,4.94E+16,0.0285861,5.39943
9.403,5.08E+16,0.028816,5.39928
9.404,5.21E+16,0.0290464,5.39914
9.405,5.35E+16,0.0292772,5.39901
9.406,5.49E+16,0.0295083,5.39889
9.407,5.63E+16,0.0297397,5.39879
9.408,5.77E+16,0.0299713,5.39872
9.409,5.91E+16,0.030203,5.39868
9.41,6.06E+16,0.0304348,5.39868
9.411,6.20E+16,0.0306665,5.39871
9.412,6.35E+16,0.0308982,5.39879
9.413,6.50E+16,0.0311298,5.39893
9.414,6.65E+16,0.0313611,5.39911
9.415,6.80E+16,0.0315921,5.39936
9.416,6.96E+16,0.0318228,5.39968
9.417,7.11E+16,0.0320531,5.40007
9.418,7.27E+16,0.0322829,5.40053
9.419,7.43E+16,0.0325121,5.40111
9.42,7.59E+16,0.0327406,5.40181
9.421,7.75E+16,0.0329685,5.40268
9.422,7.92E+16,0.0331955,5.40373
9.423,8.08E+16,0.0334218,5.405
9.424,8.25E+16,0.0336471,5.4065
9.425,8.41E+16,0.0338714,5.40827
9.426,8.58E+16,0.0340947,5.41033
9.427,8.75E+16,0.0343169,5.41271
9.428,8.92E+16,0.0345378,5.41544
9.429,9.10E+16,0.0347576,5.41854
9.43,9.27E+16,0.0349759,5.42204
9.431,9.45E+16,0.0351929,5.42596
9.432,9.62E+16,0.0354084,5.43034
9.433,9.80E+16,0.0356225,5.4352
9.434,9.99E+16,0.035835,5.44056
9.435,1.02E+17,0.0360461,5.44645
9.436,1.04E+17,0.0362555,5.4529
