time(us),Total rhor (gm/cm^2),HS rhor (gm/cm^2),burnrate (us^-1),tion(keV)
-1.570423e-04,6.909000e-01,4.159000e-01,5.186300e+18,5.544300e+00
-1.487089e-04,8.324000e-01,5.172000e-01,1.155800e+19,5.537800e+00
-1.320423e-04,9.740000e-01,6.166000e-01,2.235400e+19,5.689700e+00
-1.168339e-04,9.983000e-01,6.321000e-01,2.501600e+19,5.747000e+00
-1.060006e-04,1.166900e+00,7.348000e-01,5.910000e+19,6.293900e+00
-9.954226e-05,1.252700e+00,7.814000e-01,1.075000e+20,6.746600e+00
-9.454225e-05,1.290800e+00,7.993000e-01,1.598000e+20,7.148100e+00
-8.954225e-05,1.322900e+00,8.055000e-01,3.629200e+20,8.260900e+00
-8.454225e-05,1.319900e+00,8.002000e-01,4.315700e+20,8.505600e+00
-7.954225e-05,1.315800e+00,7.952000e-01,4.838700e+20,8.660100e+00
-7.454225e-05,1.312500e+00,7.916000e-01,5.207000e+20,8.759900e+00
-6.954225e-05,1.300300e+00,7.794000e-01,6.249700e+20,8.992100e+00
-6.454225e-05,1.283200e+00,7.638000e-01,7.560700e+20,9.227800e+00
-5.954225e-05,1.261400e+00,7.453000e-01,9.244700e+20,9.481300e+00
-5.454225e-05,1.235300e+00,7.248000e-01,1.140500e+21,9.765400e+00
-4.954225e-05,1.206200e+00,7.034000e-01,1.412000e+21,1.008020e+01
-4.454225e-05,1.184100e+00,6.881000e-01,1.669400e+21,1.034320e+01
-3.954225e-05,1.175300e+00,6.824000e-01,1.747900e+21,1.041690e+01
-3.454225e-05,1.142900e+00,6.618000e-01,2.195700e+21,1.079930e+01
-2.954225e-05,1.110100e+00,6.427000e-01,2.683200e+21,1.115900e+01
-2.454225e-05,1.076700e+00,6.244000e-01,3.248100e+21,1.155210e+01
-1.954225e-05,1.042500e+00,6.066000e-01,3.862400e+21,1.200460e+01
-1.454225e-05,1.006400e+00,5.876000e-01,4.488100e+21,1.253210e+01
-9.815140e-06,9.708000e-01,5.673000e-01,5.075600e+21,1.314420e+01
-5.906690e-06,9.601000e-01,5.623000e-01,5.149500e+21,1.329840e+01
-2.816901e-06,9.295000e-01,5.479000e-01,5.501700e+21,1.384520e+01
0.000000e+00,8.868000e-01,5.265000e-01,5.699300e+21,1.455900e+01
2.816901e-06,8.424000e-01,5.042000e-01,5.667400e+21,1.520930e+01
5.633803e-06,7.989000e-01,4.812000e-01,5.448300e+21,1.574230e+01
8.450705e-06,7.692000e-01,4.647000e-01,5.263100e+21,1.605950e+01
1.126761e-05,7.387000e-01,4.463000e-01,4.900300e+21,1.619180e+01
1.408451e-05,6.922000e-01,4.190000e-01,4.317800e+21,1.623700e+01
1.690141e-05,6.778000e-01,4.107000e-01,4.149200e+21,1.622700e+01
1.971831e-05,6.718000e-01,4.072000e-01,4.071500e+21,1.620330e+01
2.253521e-05,6.577000e-01,3.985000e-01,3.882400e+21,1.612940e+01
2.535211e-05,6.433000e-01,3.897000e-01,3.683900e+21,1.603180e+01
2.816901e-05,6.287000e-01,3.808000e-01,3.478700e+21,1.590670e+01
3.098592e-05,6.137000e-01,3.714000e-01,3.268600e+21,1.575610e+01
3.380282e-05,5.984000e-01,3.617000e-01,3.054200e+21,1.557510e+01
3.661972e-05,5.828000e-01,3.515000e-01,2.837900e+21,1.536500e+01
3.943662e-05,5.668000e-01,3.412000e-01,2.621100e+21,1.512610e+01
4.225352e-05,5.506000e-01,3.306000e-01,2.405300e+21,1.485770e+01
4.507042e-05,5.341000e-01,3.197000e-01,2.192400e+21,1.456000e+01
4.788732e-05,5.173000e-01,3.087000e-01,1.984700e+21,1.423490e+01
5.070423e-05,5.003000e-01,2.976000e-01,1.782600e+21,1.388090e+01
5.352113e-05,4.832000e-01,2.861000e-01,1.587100e+21,1.349830e+01
5.633803e-05,4.659000e-01,2.743000e-01,1.399400e+21,1.308960e+01
5.915493e-05,4.484000e-01,2.623000e-01,1.221400e+21,1.265700e+01
6.197183e-05,4.347000e-01,2.529000e-01,1.090000e+21,1.230370e+01
6.478873e-05,4.307000e-01,2.501000e-01,1.053000e+21,1.219810e+01
6.760563e-05,4.129000e-01,2.378000e-01,8.961700e+20,1.171690e+01
7.042254e-05,3.949000e-01,2.252000e-01,7.514800e+20,1.121410e+01
7.323944e-05,3.768000e-01,2.127000e-01,6.200900e+20,1.069200e+01
7.605634e-05,3.588000e-01,2.001000e-01,5.031900e+20,1.015550e+01
7.887324e-05,3.407000e-01,1.875000e-01,3.996200e+20,9.600100e+00
8.169014e-05,3.226000e-01,1.750000e-01,3.101500e+20,9.031900e+00
8.450704e-05,3.046000e-01,1.625000e-01,2.344200e+20,8.454200e+00
8.732394e-05,2.877000e-01,1.509000e-01,1.752200e+20,7.902600e+00
8.967136e-05,2.351000e-01,1.152000e-01,5.602100e+19,6.124500e+00
