time(us),Total rhor (gm/cm^2),HS rhor (gm/cm^2),burnrate (us^-1),tion(keV)
-2.757143e-04,2.359000e-01,2.060000e-02,2.704500e+16,5.282500e+00
-2.657143e-04,2.406000e-01,2.150000e-02,3.177500e+16,5.327400e+00
-2.457143e-04,2.650000e-01,2.540000e-02,6.113300e+16,5.284600e+00
-2.257143e-04,3.001000e-01,3.100000e-02,1.084400e+17,4.795700e+00
-2.057143e-04,3.438000e-01,3.770000e-02,1.892800e+17,4.358300e+00
-1.857143e-04,3.932000e-01,4.570000e-02,3.270500e+17,4.204200e+00
-1.657143e-04,3.992000e-01,4.670000e-02,3.483800e+17,4.209500e+00
-1.461310e-04,4.710000e-01,5.960000e-02,7.226400e+17,4.456900e+00
-1.277977e-04,5.667000e-01,8.020000e-02,1.751700e+18,4.996800e+00
-1.107143e-04,6.077000e-01,8.990000e-02,2.415400e+18,5.160100e+00
-9.404762e-05,6.883000e-01,1.079000e-01,4.035400e+18,5.228500e+00
-7.738095e-05,8.335000e-01,1.369000e-01,7.471800e+18,5.035800e+00
-6.071429e-05,8.970000e-01,1.501000e-01,9.036200e+18,4.987500e+00
-4.434524e-05,1.006300e+00,1.740000e-01,1.200500e+19,4.978800e+00
-2.886905e-05,1.197100e+00,2.193000e-01,1.727100e+19,4.865400e+00
-1.428571e-05,1.240300e+00,2.296000e-01,1.819900e+19,4.797700e+00
0.000000e+00,1.378900e+00,2.635000e-01,1.991600e+19,4.511300e+00
1.428571e-05,1.528800e+00,3.081000e-01,1.728400e+19,4.091700e+00
2.857143e-05,1.577700e+00,3.241000e-01,1.396400e+19,3.796900e+00
4.285714e-05,1.610400e+00,3.344000e-01,9.983000e+18,3.404900e+00
5.702381e-05,1.623400e+00,3.434000e-01,5.050000e+18,2.812700e+00
7.083333e-05,1.622700e+00,3.441000e-01,4.798300e+18,2.777200e+00
8.428571e-05,1.593700e+00,3.586000e-01,2.211700e+18,2.331000e+00
9.761905e-05,1.575200e+00,3.650000e-01,1.644500e+18,2.189400e+00
1.109524e-04,1.530100e+00,3.735000e-01,9.199500e+17,1.943900e+00
1.242857e-04,1.438400e+00,3.760000e-01,3.398500e+17,1.612600e+00
1.376190e-04,1.437500e+00,3.760000e-01,3.365100e+17,1.609800e+00
1.487302e-04,1.386900e+00,3.728000e-01,2.015900e+17,1.474700e+00
