time(us),Total rhor (gm/cm^2),HS rhor (gm/cm^2),burnrate (us^-1),tion(keV)
-2.004545e-04,5.654000e-01,2.898000e-01,1.890500e+18,5.089800e+00
-1.904545e-04,6.866000e-01,3.709000e-01,4.734500e+18,5.376300e+00
-1.704545e-04,8.306000e-01,4.675000e-01,1.039500e+19,5.360600e+00
-1.504545e-04,8.380000e-01,4.725000e-01,1.076500e+19,5.364400e+00
-1.319128e-04,9.972000e-01,5.758000e-01,2.224300e+19,5.616900e+00
-1.177462e-04,1.166400e+00,6.740000e-01,5.090700e+19,6.078900e+00
-1.079545e-04,1.191000e+00,6.863000e-01,5.850900e+19,6.159900e+00
-9.962120e-05,1.291100e+00,7.344000e-01,1.245500e+20,6.786500e+00
-9.128788e-05,1.319900e+00,7.355000e-01,3.055000e+20,7.888000e+00
-8.295455e-05,1.296300e+00,7.114000e-01,4.114600e+20,8.207700e+00
-7.462121e-05,1.270100e+00,6.888000e-01,5.047900e+20,8.420900e+00
-6.628788e-05,1.237200e+00,6.638000e-01,6.209100e+20,8.671800e+00
-5.795455e-05,1.211800e+00,6.464000e-01,7.147100e+20,8.867700e+00
-4.962121e-05,1.199000e+00,6.381000e-01,7.647600e+20,8.967900e+00
-4.128788e-05,1.156200e+00,6.119000e-01,9.367600e+20,9.295300e+00
-3.295455e-05,1.108700e+00,5.851000e-01,1.139200e+21,9.641600e+00
-2.509470e-05,1.055200e+00,5.566000e-01,1.364300e+21,9.999900e+00
-1.865530e-05,1.021900e+00,5.391000e-01,1.489500e+21,1.020090e+01
-1.363636e-05,9.960000e-01,5.259000e-01,1.591600e+21,1.035520e+01
-9.090908e-06,9.323000e-01,4.940000e-01,1.827500e+21,1.074550e+01
-4.545455e-06,8.682000e-01,4.628000e-01,1.893000e+21,1.097220e+01
0.000000e+00,8.047000e-01,4.314000e-01,1.895600e+21,1.116040e+01
4.545455e-06,7.864000e-01,4.222000e-01,1.843300e+21,1.116290e+01
9.090908e-06,7.591000e-01,4.084000e-01,1.800200e+21,1.119210e+01
1.363636e-05,6.948000e-01,3.749000e-01,1.561700e+21,1.105460e+01
1.818182e-05,6.466000e-01,3.486000e-01,1.338600e+21,1.081730e+01
2.272727e-05,6.271000e-01,3.378000e-01,1.259400e+21,1.071010e+01
2.727273e-05,6.076000e-01,3.269000e-01,1.156200e+21,1.054600e+01
3.181818e-05,5.882000e-01,3.158000e-01,1.051000e+21,1.036030e+01
3.636364e-05,5.715000e-01,3.062000e-01,9.615800e+20,1.018750e+01
4.090909e-05,5.686000e-01,3.045000e-01,9.458600e+20,1.015530e+01
4.545455e-05,5.490000e-01,2.932000e-01,8.428800e+20,9.930200e+00
5.000000e-05,5.295000e-01,2.818000e-01,7.432100e+20,9.684200e+00
5.454545e-05,5.099000e-01,2.703000e-01,6.474000e+20,9.415600e+00
5.909091e-05,4.902000e-01,2.586000e-01,5.565900e+20,9.127400e+00
6.363636e-05,4.706000e-01,2.468000e-01,4.715000e+20,8.818600e+00
6.818182e-05,4.508000e-01,2.349000e-01,3.932000e+20,8.491200e+00
7.272727e-05,4.111000e-01,2.107000e-01,2.588700e+20,7.781800e+00
8.170454e-05,3.109000e-01,1.490000e-01,5.716200e+19,5.707500e+00
1.039773e-04,3.052000e-01,1.455000e-01,5.108300e+19,5.579800e+00
1.314015e-04,2.610000e-01,1.186000e-01,1.846400e+19,4.556100e+00
