time(us),Total rhor (gm/cm^2),HS rhor (gm/cm^2),burnrate (us^-1),tion(keV)
-2.347500e-04,3.959000e-01,9.930000e-02,3.562500e+17,4.241600e+00
-2.247500e-04,4.506000e-01,1.190000e-01,6.227300e+17,4.388900e+00
-2.054643e-04,4.662000e-01,1.247000e-01,7.297300e+17,4.465300e+00
-1.883214e-04,5.586000e-01,1.597000e-01,1.771400e+18,4.999100e+00
-1.733214e-04,6.293000e-01,1.870000e-01,3.165300e+18,5.304200e+00
-1.590357e-04,6.772000e-01,2.055000e-01,4.433700e+18,5.395300e+00
-1.447500e-04,8.126000e-01,2.558000e-01,9.546400e+18,5.398300e+00
-1.304643e-04,8.170000e-01,2.574000e-01,9.753500e+18,5.400200e+00
-1.161786e-04,9.790000e-01,3.171000e-01,2.002700e+19,5.554400e+00
-1.024286e-04,9.909000e-01,3.216000e-01,2.111700e+19,5.576400e+00
-9.028573e-05,1.148900e+00,3.836000e-01,4.326400e+19,5.965100e+00
-7.975000e-05,1.149100e+00,3.837000e-01,4.335900e+19,5.966500e+00
-6.975000e-05,1.269300e+00,4.325000e-01,8.287200e+19,6.405600e+00
-5.975000e-05,1.288800e+00,4.404000e-01,9.375500e+19,6.506900e+00
-4.975000e-05,1.338500e+00,4.602000e-01,1.406100e+20,6.869900e+00
-3.975000e-05,1.352000e+00,4.639000e-01,1.805400e+20,7.092200e+00
-2.975000e-05,1.348000e+00,4.589000e-01,2.129500e+20,7.224800e+00
-1.975000e-05,1.298900e+00,4.269000e-01,2.882800e+20,7.482500e+00
-9.750000e-06,1.297000e+00,4.258000e-01,2.902900e+20,7.488800e+00
0.000000e+00,1.207700e+00,3.891000e-01,3.362400e+20,7.627800e+00
9.000000e-06,1.165500e+00,3.770000e-01,3.345300e+20,7.620500e+00
1.725000e-05,1.090400e+00,3.567000e-01,3.012500e+20,7.498800e+00
2.525000e-05,9.928000e-01,3.276000e-01,2.251400e+20,7.137700e+00
3.325000e-05,9.886000e-01,3.262000e-01,2.213600e+20,7.115500e+00
4.125000e-05,9.314000e-01,3.068000e-01,1.695300e+20,6.776100e+00
4.925000e-05,8.592000e-01,2.799000e-01,1.091800e+20,6.231200e+00
5.725000e-05,8.089000e-01,2.595000e-01,7.440800e+19,5.778500e+00
6.525000e-05,7.715000e-01,2.436000e-01,5.337800e+19,5.407000e+00
7.325000e-05,6.675000e-01,1.971000e-01,1.661400e+19,4.268300e+00
8.125000e-05,6.592000e-01,1.933000e-01,1.488000e+19,4.173500e+00
8.925000e-05,5.767000e-01,1.550000e-01,4.229000e+18,3.238400e+00
9.591667e-05,5.634000e-01,1.489000e-01,3.352000e+18,3.092900e+00
