time(us),Total rhor (gm/cm^2),HS rhor (gm/cm^2),burnrate (us^-1),tion(keV)
-2.241666e-04,4.711000e-01,1.805000e-01,7.599600e+17,4.496200e+00
-2.154166e-04,5.667000e-01,2.303000e-01,1.908200e+18,5.060300e+00
-1.983333e-04,6.054000e-01,2.516000e-01,2.634900e+18,5.223400e+00
-1.816667e-04,6.875000e-01,2.985000e-01,4.730900e+18,5.350400e+00
-1.650000e-04,8.309000e-01,3.698000e-01,1.031300e+19,5.331000e+00
-1.483333e-04,8.864000e-01,3.966000e-01,1.329300e+19,5.374700e+00
-1.316667e-04,9.963000e-01,4.501000e-01,2.174900e+19,5.582400e+00
-1.150000e-04,1.163900e+00,5.290000e-01,4.884800e+19,6.035000e+00
-9.833333e-05,1.177800e+00,5.350000e-01,5.271900e+19,6.079300e+00
-8.166667e-05,1.289000e+00,5.828000e-01,1.142800e+20,6.701900e+00
-6.500000e-05,1.324700e+00,5.926000e-01,2.307900e+20,7.533100e+00
-4.833333e-05,1.321200e+00,5.887000e-01,2.563700e+20,7.651200e+00
-3.291667e-05,1.225100e+00,5.288000e-01,5.146900e+20,8.436700e+00
-2.125000e-05,1.048600e+00,4.523000e-01,8.448200e+20,9.278800e+00
-1.333333e-05,1.047800e+00,4.519000e-01,8.435700e+20,9.275100e+00
-6.666666e-06,9.958000e-01,4.316000e-01,8.898000e+20,9.418400e+00
0.000000e+00,9.453000e-01,4.122000e-01,8.918300e+20,9.484900e+00
6.666666e-06,8.923000e-01,3.917000e-01,8.751000e+20,9.521600e+00
1.333333e-05,8.390000e-01,3.706000e-01,8.175400e+20,9.469300e+00
2.000000e-05,8.316000e-01,3.675000e-01,8.050400e+20,9.453200e+00
2.666667e-05,7.963000e-01,3.530000e-01,7.502500e+20,9.371400e+00
3.333333e-05,7.460000e-01,3.315000e-01,6.455200e+20,9.164700e+00
4.000000e-05,7.314000e-01,3.253000e-01,6.169800e+20,9.091400e+00
4.666667e-05,7.169000e-01,3.188000e-01,5.836100e+20,9.001800e+00
5.333333e-05,6.716000e-01,2.980000e-01,4.752100e+20,8.679500e+00
6.000000e-05,6.310000e-01,2.787000e-01,3.793000e+20,8.320200e+00
6.666667e-05,4.748000e-01,1.999000e-01,9.863200e+19,6.362100e+00
7.750000e-05,4.670000e-01,1.957000e-01,8.983400e+19,6.242300e+00
1.008333e-04,3.651000e-01,1.418000e-01,1.910500e+19,4.560000e+00
1.286111e-04,3.270000e-01,1.217000e-01,8.695200e+18,3.894000e+00
